whale ID,matriline,year,status,CV1,CV2
0A54,A30,2018,Lactating (1st year),-1.27076476,-1.115245323
0A54,A30,2018,Lactating (1st year),-1.069994318,-1.053407566
0A54,A30,2019,Lactating (2nd year),-0.80003463,0.401239177
0A54,A30,2019,Lactating (2nd year),0.72089891,0.575240046
0A72,A30,2018,Non-pregnant,1.088457675,-1.523172048
0A72,A30,2018,Non-pregnant,3.264890339,-1.54072268
0A72,A30,2019,Non-pregnant,3.236135121,0.014507845
0A72,A30,2019,Non-pregnant,2.765737309,0.09800792
0A72,A30,2020,Non-pregnant,-0.0981148,-1.300344906
0A72,A30,2020,Non-pregnant,1.714656358,0.267506481
0A75,A30,2018,Lactating (3rd year),-0.016467412,-0.482813855
0A75,A30,2018,Lactating (3rd year),0.207129151,-1.690365198
0A75,A30,2019,Early-stage pregnant,-0.62372928,-2.142614721
0A75,A30,2019,Early-stage pregnant,-0.38474514,-1.171738686
0A75,A30,2020,Late-stage pregnant,-0.422562646,1.810889532
0A75,A30,2020,Late-stage pregnant,2.000788961,1.566085927
0A85,A25,2018,Early-stage pregnant,-2.617885053,-1.824018298
0A85,A25,2018,Early-stage pregnant,-1.56703867,-1.365205325
0A85,A25,2019,Late-stage pregnant,-1.588630554,1.660817228
0A85,A25,2019,Late-stage pregnant,0.325930099,3.941359302
0A85,A25,2020,Lactating (1st year),-2.719413819,-0.059821017
0A85,A25,2020,Lactating (1st year),-2.565267758,-1.68573455
0A86,A30,2018,Late-stage pregnant,-0.09470424,2.63948528
0A86,A30,2018,Late-stage pregnant,-0.663510216,3.601909062
0A86,A30,2019,Lactating (1st year),-4.470075165,-0.246451373
0A86,A30,2019,Lactating (1st year),-4.385832757,1.617036399
I102,I4,2018,Non-pregnant,2.998382685,0.411565407
I102,I4,2018,Non-pregnant,1.930721924,-0.371122272
I102,I4,2019,Non-pregnant,2.531449364,-1.328122029
I102,I4,2019,Non-pregnant,2.573593323,0.295250242
