whale ID,matriline,year,status,CV1,CV2
A42,A42,2018,Nursing (2nd year),1.497983064,1.870275836
A42,A42,2018,Nursing (2nd year),1.609920003,0.895253913
A50,A30,2019,Late-pregnant,2.303623762,-2.270887133
A50,A30,2019,Late-pregnant,2.445919293,0.391649755
A50,A30,2020,Nursing (1st year),-0.80594434,3.008656997
A50,A30,2020,Nursing (1st year),-0.726923087,0.769999588
A54,A30,2018,Nursing (1st year),-0.772255489,0.746860952
A54,A30,2018,Nursing (1st year),-0.600780121,0.227416927
A54,A30,2019,Nursing (2nd year),0.437041535,0.588448795
A54,A30,2019,Nursing (2nd year),-0.364831963,-0.966608974
A72,A30,2018,Not-pregnant,-1.454902804,0.701222869
A72,A30,2018,Not-pregnant,-2.675947739,-1.477503004
A72,A30,2019,Not-pregnant,-1.482148139,-1.635714003
A72,A30,2019,Not-pregnant,-0.939113529,-0.946133234
A72,A30,2020,Not-pregnant,-1.49547419,0.501257613
A72,A30,2020,Not-pregnant,-0.747397481,-0.871691809
A75,A30,2018,Nursing (3rd year),-0.519352133,-0.029796257
A75,A30,2018,Nursing (3rd year),-1.721880111,0.788096464
A75,A30,2019,Early-pregnant,-0.78691965,-0.063440738
A75,A30,2019,Early-pregnant,-1.894109226,1.765515859
A75,A30,2020,Late-pregnant,1.997182817,-0.487919015
A75,A30,2020,Late-pregnant,2.574049327,-1.222190206
A85,A25,2018,Early-pregnant,0.221471142,0.577424345
A85,A25,2018,Early-pregnant,-0.4782754,1.01061
A85,A25,2019,Late-pregnant,2.562937636,-0.431015064
A85,A25,2019,Late-pregnant,2.646423092,-2.667689879
A85,A25,2020,Nursing (1st year),0.416762277,2.107775404
A85,A25,2020,Nursing (1st year),-0.364859827,1.7782527
A86,A30,2018,Late-pregnant,2.32643125,-1.720146394
A86,A30,2018,Late-pregnant,3.509237732,-1.692072664
A86,A30,2019,Nursing (1st year),2.335596043,3.359511603
A86,A30,2019,Nursing (1st year),2.673657086,0.950460213
A90,A35,2021,Nursing (1st year),-0.577055165,-0.292629488
A90,A35,2021,Nursing (1st year),0.947390556,2.864310208
C13,C10,2020,Nursing (2nd year),-0.805352059,-0.260792881
C13,C10,2020,Nursing (2nd year),-0.835097019,0.776309861
G58,G27,2019,Nursing (3rd year),-1.154760043,0.369142592
G58,G27,2019,Nursing (3rd year),-1.326336086,-1.327179191
I102,I4,2018,Not-pregnant,-0.688686117,-2.02362131
I102,I4,2018,Not-pregnant,-0.942714287,-0.899417724
I102,I4,2019,Not-pregnant,-2.290092986,-1.727572372
I102,I4,2019,Not-pregnant,-0.950187527,-1.38290544
I35,I35,2019,Not-pregnant,-1.403861586,-1.786070874
I35,I35,2019,Not-pregnant,-1.700368513,0.134545159
