whale ID,matriline,year,status,PC1,PC2
A42,A42,2018,Nursing (2nd year),-0.002461456,-0.017417461
A42,A42,2018,Nursing (2nd year),0.013109741,-0.025235118
A50,A30,2019,Late-pregnant,0.021467531,-0.027659765
A50,A30,2019,Late-pregnant,-0.006429231,-0.022914987
A50,A30,2020,Nursing (1st year),-0.016339087,0.003120687
A50,A30,2020,Nursing (1st year),0.028842189,-0.007177099
A54,A30,2018,Nursing (1st year),-4.32E-04,0.012639374
A54,A30,2018,Nursing (1st year),0.004512828,0.006507201
A54,A30,2019,Nursing (2nd year),-0.021831275,0.008502231
A54,A30,2019,Nursing (2nd year),-0.016229785,0.00425715
A72,A30,2018,Not-pregnant,0.019395507,0.017587265
A72,A30,2018,Not-pregnant,0.035658516,0.016741996
A72,A30,2019,Not-pregnant,0.012638615,0.012660125
A72,A30,2019,Not-pregnant,0.016550506,0.004463306
A72,A30,2020,Not-pregnant,0.019140673,0.00859892
A72,A30,2020,Not-pregnant,-0.005055839,0.007727257
A75,A30,2018,Nursing (3rd year),-0.01668922,0.009396338
A75,A30,2018,Nursing (3rd year),0.011676942,0.010341824
A75,A30,2019,Early-pregnant,-0.010876931,0.016722386
A75,A30,2019,Early-pregnant,-0.011529252,0.013873573
A75,A30,2020,Late-pregnant,9.75E-04,-0.00931585
A75,A30,2020,Late-pregnant,0.021747225,-0.019510593
A85,A25,2018,Early-pregnant,0.009912863,-2.95E-04
A85,A25,2018,Early-pregnant,-0.004090882,9.33E-04
A85,A25,2019,Late-pregnant,-0.01692961,-0.020361095
A85,A25,2019,Late-pregnant,0.01349155,-0.030447192
A85,A25,2020,Nursing (1st year),-0.017473883,0.007337713
A85,A25,2020,Nursing (1st year),-0.023971547,0.005832339
A86,A30,2018,Late-pregnant,0.007628128,-0.032557876
A86,A30,2018,Late-pregnant,0.006691609,-0.036272878
A86,A30,2019,Nursing (1st year),-0.065173307,-0.005090892
A86,A30,2019,Nursing (1st year),-0.051894992,-0.020592281
A90,A35,2021,Nursing (1st year),0.021633298,0.013977113
A90,A35,2021,Nursing (1st year),-0.062345536,0.008936864
C13,C10,2020,Nursing (2nd year),-0.008680939,0.008356502
C13,C10,2020,Nursing (2nd year),-9.39E-04,0.008756544
G58,G27,2019,Nursing (3rd year),-0.016537443,0.008395917
G58,G27,2019,Nursing (3rd year),0.002039515,0.012940397
I102,I4,2018,Not-pregnant,0.045613781,0.005332346
I102,I4,2018,Not-pregnant,0.020963346,0.001226557
I102,I4,2019,Not-pregnant,0.015981892,0.006556407
I102,I4,2019,Not-pregnant,0.005929245,0.012547999
I35,I35,2019,Not-pregnant,0.022495627,0.008643985
I35,I35,2019,Not-pregnant,-0.002184385,0.011934261
